,NCTID,FULLNAME,FIRSTNAME,LASTNAME,NAME
0,NCT00573027,Barbra Streisand Women's Heart Center,Barbra,Center,BARBRA CENTER
1,NCT04821141,Bruce F Kimler,Bruce,Kimler,BRUCE KIMLER
2,NCT04821141,Amy L Kreutzjans,Amy,Kreutzjans,AMY KREUTZJANS
3,NCT05193968,Pamela A Engrav,Pamela,Engrav,PAMELA ENGRAV
4,NCT05193968,Nancy J Meyer,Nancy,Meyer,NANCY MEYER
5,NCT03684187,Marina Silveira,Marina,Silveira,MARINA SILVEIRA
6,NCT04313751,Yamnia I Cortes,Yamnia,Cortes,YAMNIA CORTES
7,NCT04313751,Diane C Berry,Diane,Berry,DIANE BERRY
8,NCT03505905,Salina Shrestha,Salina,Shrestha,SALINA SHRESTHA
9,NCT03911609,Marie K Hoeger Bement,Marie,Bement,MARIE BEMENT
10,NCT03236545,Megan Wenner,Megan,Wenner,MEGAN WENNER
11,NCT03236545,Joshua C Hobson,Joshua,Hobson,JOSHUA HOBSON
12,NCT04649866,Yassmin A Aaraj,Yassmin,Aaraj,YASSMIN AARAJ
13,NCT02907983,Mia Zubeck,Mia,Zubeck,MIA ZUBECK
14,NCT02907983,David R. Walega,David,Walega,DAVID WALEGA
15,NCT03572153,Whitney Williams,Whitney,Williams,WHITNEY WILLIAMS
16,NCT03572153,Gary Elkins,Gary,Elkins,GARY ELKINS
17,NCT01314625,Naveen sanath kumar,Naveen,kumar,NAVEEN KUMAR
18,NCT00547001,Anna Lynne Hosig,Anna,Hosig,ANNA HOSIG
19,NCT00547001,Peter F. Schnatz,Peter,Schnatz,PETER SCHNATZ
21,NCT00573027,Noel Bairey-Merz,Noel,Bairey-Merz,NOEL BAIREY-MERZ
22,NCT00573027,Saibal Kar,Saibal,Kar,SAIBAL KAR
23,NCT00573027,Raj Makkar,Raj,Makkar,RAJ MAKKAR
24,NCT00573027,Dan Berman,Dan,Berman,DAN BERMAN
25,NCT00573027,Leslee Shaw,Leslee,Shaw,LESLEE SHAW
26,NCT00573027,Louise Thompson,Louise,Thompson,LOUISE THOMPSON
27,NCT00573027,Rola Saouf,Rola,Saouf,ROLA SAOUF
28,NCT04821141,Lisa D Yee,Lisa,Yee,LISA YEE
29,NCT04821141,Victoria L Seewaldt,Victoria,Seewaldt,VICTORIA SEEWALDT
30,NCT04821141,Laura Esserman,Laura,Esserman,LAURA ESSERMAN
31,NCT04821141,Sema Khan,Sema,Khan,SEMA KHAN
32,NCT04821141,Judy Garber,Judy,Garber,JUDY GARBER
43,NCT03572153,Alison Cieslak,Alison,Cieslak,ALISON CIESLAK
44,NCT03572153,Debra Barton,Debra,Barton,DEBRA BARTON
48,NCT01314625,naveen sanathkumar,naveen,sanathkumar,NAVEEN SANATHKUMAR
50,NCT00547001,Margarita Garcia,Margarita,Garcia,MARGARITA GARCIA
51,NCT00573027,Noel Bairey Merz,Noel,Merz,NOEL MERZ
52,NCT00573027,C.Noel Bairey-Merz,C.Noel,Bairey-Merz,C.NOEL BAIREY-MERZ
53,NCT04821141,Carol Fabian,Carol,Fabian,CAROL FABIAN
55,NCT05193968,Michael J. Joyner,Michael,Joyner,MICHAEL JOYNER
59,NCT03505905,Sherwood Brown,Sherwood,Brown,SHERWOOD BROWN
60,NCT03505905,Marlene Freeman,Marlene,Freeman,MARLENE FREEMAN
64,NCT04649866,Stephen Y. Chan,Stephen,Chan,STEPHEN CHAN
71,NCT01314625,Elias Anaissie,Elias,Anaissie,ELIAS ANAISSIE
